YORF	NAME	GWEIGHT	GenBank	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10
D25	D25	1	AI339400	1.708559181	2.319358803	3.161369337	2.496639133	1.710544914	1.622877334	1.39620701	1.501895151	1.604568814	2.777280271
D26	D26	1	AA086476	2.251720575	2.587503417	3.478924659	2.746099291	2.161946871	1.861452446	0.611259999	1.094780025	1.899427238	2.030313065
D27	D27	1	AA485376	1.690314888	2.996732261	3.111651179	2.471571437	2.466545629	1.680046229	1.294950124	1.773423199	2.42978227	2.908803274
D28	D28	1	N67869	1.877016632	2.138341451	2.728162077	2.038385969	2.134980584	1.438706991	1.161263303	1.531187594	2.440602141	2.765832117
D29	D29	1	AA669162	1.808467865	2.692322716	2.853335534	2.287392523	1.938422007	1.015282405	0.648844969	1.549682006	1.61006243	2.548272207
D30	D30	1	R01732	2.079995072	2.300377318	3.045004469	2.191646251	2.271948755	1.511550098	1.37169248	1.566898879	1.784973297	2.801474751
D31	D31	1	H06541	1.975702154	2.661989929	3.439816201	2.70386423	2.200375898	1.574796785	0.642571221	1.361639201	1.605984379	2.083173362
D32	D32	1	AA620426	1.627471318	2.414452243	3.275496078	2.480806851	2.201844766	1.213918086	0.996089256	1.850689736	2.263600091	2.606151687
D33	D33	1	AA453175	1.898961943	2.343595163	3.406529005	2.943966412	2.035241413	1.67847776	0.95551651	1.406933893	1.745376639	2.740489807
D34	D34	1	N59532	1.708408643	2.721078792	2.902479736	2.148224845	1.924943022	1.102855633	1.22302163	1.567514243	1.964494834	2.829006008
D35	D35	1	AA709322	2.150687605	2.591966151	2.743458251	2.426183683	1.572773003	1.945303018	1.140101768	1.568862259	2.295992753	2.40370186
D36	D36	1	AA047078	1.675013945	2.194954697	3.247297022	2.08154295	1.638921109	1.282538436	1.260020709	1.594437618	2.189472329	2.005397348
D37	D37	1	AA454854	1.834927425	2.897880972	3.22647614	2.73740716	1.546105817	1.151419162	1.340262793	1.769127447	2.218933405	2.304757627
D38	D38	1	AA844818	2.098133455	2.36962101	3.396723778	2.841591706	2.295804692	1.969496781	1.286894724	1.435906461	2.038359039	2.582887478
D39	D39	1	AA682399	2.33960832	2.713372984	3.277842174	2.586905343	2.294915934	1.916763283	1.369443778	1.554936643	2.011200901	2.558916107
D40	D40	1	AA125872	2.060333991	2.846128326	2.956797079	2.286810131	2.083535486	1.502902896	0.938229293	1.423798279	1.772030343	2.157162698
D41	D41	1	AA464755	2.228555907	2.870163797	3.026783708	2.625279685	2.211755504	1.3225884	1.094776466	1.498650228	2.258494861	2.133135505
D42	D42	1	AA677185	1.581537705	2.598103181	3.346508489	2.859379879	1.685008524	1.641424423	1.276143162	1.054452301	1.696361065	2.287344063
D43	D43	1	R53942	2.113368408	2.756695056	2.633472389	2.070165487	1.543505187	1.717007875	1.073068384	1.48173448	1.640806154	2.845098726
D44	D44	1	AA404486	2.138897178	2.86936206	3.215262523	2.165680886	1.994641745	1.427018027	0.988269287	1.089418211	2.425668255	2.246764148
D45	D45	1	W44701	1.722553715	2.00720596	3.344867329	2.069062204	2.366585839	1.029875852	1.210486626	1.642729001	1.584328153	2.906847691
D46	D46	1	AA496376	2.430073064	2.697696561	3.163542747	2.063545452	2.267862048	1.707047934	1.280553326	1.340930432	1.688782413	2.92135948
D47	D47	1	AA663439	1.686029158	2.827679592	3.29072154	2.901291681	2.493360477	1.285363285	0.828309708	1.481629764	1.874781495	2.253977963
D48	D48	1	H63077	2.228393911	2.597335211	2.761183923	2.57326124	2.166397414	1.127769762	1.103137092	1.37688404	2.270498763	2.687465244
D49	D49	1	AA419108	1.783731731	2.700571826	2.885161805	2.947274478	2.264117278	1.153023854	1.154322412	1.544670605	1.993954286	2.843104825
D50	D50	1	AA451895	1.966030085	2.679983443	3.170784417	2.256751624	2.081275124	1.664144895	1.04211491	1.909584832	1.645774658	2.916896405
E1	E1	1	AA872001	1.663562795	1.87416857	1.014231615	1.424746717	1.94742981	2.180629029	3.052516479	2.050566901	2.057513069	1.323015242
E2	E2	1	H15504	2.238032145	1.8412448	0.523587068	1.123193951	2.288519279	2.787704346	2.776217805	2.44284169	1.83237495	1.77017209
E3	E3	1	AA465051	1.785946516	1.798405035	0.950155533	1.956730932	1.555156659	2.031430657	3.120875827	2.597271569	2.441015488	1.766650485
E4	E4	1	AA884167	2.014167974	1.104578283	1.140819055	1.028399589	2.029325	2.088248864	2.709028618	2.08184148	1.638815765	1.766541687
E5	E5	1	T65864	1.904856721	1.876847911	1.107786487	1.428443789	1.500041862	2.396305766	2.716148135	2.276259666	2.339147456	1.548523086
E6	E6	1	N50959	1.546431756	1.125093972	0.84692812	1.496587289	1.581824904	2.402084779	3.028017945	2.702700731	2.499356348	1.469033434
E7	E7	1	AI343711	1.969351216	1.513524321	1.073611717	1.110170271	2.04192391	2.102936717	2.698419135	2.750952528	1.684778197	1.3372349
E8	E8	1	AI341924	2.017494215	1.589634918	0.714082811	1.125280702	1.518078707	2.214124673	3.021586468	2.234226842	1.990384339	1.360733924
E9	E9	1	H19687	2.282749928	1.536816095	0.985827896	1.129678048	1.533403383	2.5676528	3.031762827	2.561421328	1.770353531	1.531119175
E10	E10	1	R55789	1.530454762	1.739704747	0.544643496	1.604066479	2.349875018	2.586567406	3.207003196	2.048294153	1.837519934	1.891781393
E11	E11	1	AA598991	1.885529053	1.85501415	0.981416311	1.599611864	2.480294852	2.499495017	3.313736537	2.50188132	2.233721859	1.304120875
E12	E12	1	H28119	2.362615244	1.516471787	1.34093697	1.34844314	2.146149834	2.874340353	3.41609594	2.177912661	1.935761681	1.186449471
E13	E13	1	R31758	2.209031836	1.466216443	1.426154218	1.753675331	1.570282922	2.776029235	2.840242737	2.777286117	2.324323388	1.677762672
E14	E14	1	AA866113	2.16906751	1.209852441	1.032776821	1.15048382	2.309464305	2.513071673	3.149978837	2.623200841	1.514952993	1.383700697
E15	E15	1	N26688	2.427321716	1.877568237	1.400172484	1.768258686	1.726011377	2.546322318	3.142599039	2.142107317	2.224234979	1.07836072
E16	E16	1	AA455997	1.828556788	1.433266814	1.044577163	1.254711005	1.686942145	2.614860084	2.53074024	2.527184883	1.892146201	1.855063628
E17	E17	1	AA034051	1.704947555	1.061213711	0.564916068	1.737724375	1.711697531	2.874380373	2.750796048	2.861676369	1.997581214	1.265749041
E18	E18	1	R98254	1.745377066	1.42490293	0.643317278	1.145549549	1.693161616	2.369328655	3.191871867	2.835760655	2.011435972	1.416106845
E19	E19	1	AA478273	2.414121374	1.83999276	1.349373659	1.458698537	1.594703765	2.036315804	2.573558622	2.125444005	2.063500687	1.465704823
E20	E20	1	R19628	2.480507633	1.768448241	1.026918534	1.045423701	2.006172616	2.738616065	3.419804073	2.756968664	2.100292434	1.417385287
E21	E21	1	AA702174	1.522717705	1.845669499	1.342288217	1.166034983	2.491219048	2.035449833	3.035363637	2.683090914	2.371210488	1.046799609
E22	E22	1	AA002126	1.599197759	1.785331862	1.386792369	1.948571417	1.744030399	2.981496133	3.484887221	2.317589021	1.606940138	1.548387908
E23	E23	1	H48706	2.283293843	1.087447771	0.816836149	1.310212377	1.632871471	2.823008765	2.548828442	2.052675545	2.079977429	1.649120876
E24	E24	1	R07870	1.970060832	1.602695134	0.994790374	1.312349049	2.268730116	2.486009422	2.847798882	2.304093753	1.669100336	1.21900937
E25	E25	1	AI628066	1.850893363	1.268298095	0.504341232	1.237685732	1.716869513	2.248371631	2.719181865	2.201756734	2.065960651	1.326122003
E26	E26	1	AA460685	2.250144642	1.349254495	0.913569774	1.06698079	2.159466872	2.546441245	3.389989555	2.708295314	2.09911679	1.469966984
E27	E27	1	N62866	1.857416189	1.069177622	0.572662117	1.852206563	1.88152667	2.841392234	2.838215985	2.729325552	1.645485987	1.507316321
E28	E28	1	H89664	2.448334922	1.49637935	1.275614416	1.952676153	2.234065081	2.992483928	2.701047784	2.953246946	1.694240662	1.767008435
E29	E29	1	AA938940	1.779368949	1.944385304	0.61626293	1.692938722	1.511366094	2.775729801	2.739379967	2.901355649	1.984025115	1.838496757
E30	E30	1	R97710	1.871322633	1.841441303	1.407674378	1.443984751	2.193647867	2.289201049	2.785376984	2.031863851	1.518526601	1.430862971
E31	E31	1	AA961402	2.039180173	1.966861523	1.42724232	1.314794589	2.419537676	2.661307401	2.807278517	2.120585459	2.114554347	1.501519179
E32	E32	1	H57779	2.387593894	1.893923296	0.945904483	1.003856824	2.086862018	2.457270577	3.279586625	2.826241985	1.858626226	1.26361174
E33	E33	1	T53122	2.164738742	1.729948859	0.605053043	1.57241312	1.673933609	2.798700909	3.361614169	2.459310593	2.330564761	1.88014077
E34	E34	1	H93837	2.390173564	1.369744933	1.347002293	1.817415885	2.184539522	2.766539968	2.978723286	2.991818039	2.387125427	1.093277633
E35	E35	1	AA991590	1.993337218	1.774719322	1.487200929	1.9392417	2.278576145	2.574062947	2.896512277	2.55816277	1.900304933	1.755138502
E36	E36	1	AA873159	2.321774509	1.065043674	0.985087361	1.926827552	2.137456795	2.659020971	3.225528461	2.499070963	1.618331564	1.556093221
E37	E37	1	AA456474	1.879211733	1.008505127	1.425838154	1.226214026	2.325921012	2.610377676	3.492753993	2.304644298	2.102195714	1.879879421
E38	E38	1	N53169	1.897921931	1.095532932	1.154598742	1.38512286	1.534774632	2.433174887	3.459185808	2.431286909	2.491337657	1.35949074
E39	E39	1	H15842	1.686425411	1.813112166	0.924534414	1.671512772	2.239939718	2.061991209	2.830533742	2.465468179	2.061062172	1.448865306
E40	E40	1	AA478589	1.5215614	1.940273905	0.957370433	1.947399554	1.66648793	2.283291445	3.05777723	2.159241924	2.087935743	1.159972944
E41	E41	1	T70891	1.539121344	1.985857674	0.755505875	1.693720086	1.870980534	2.290280507	2.626894973	2.330166341	2.221567416	1.11823263
E42	E42	1	H68848	2.189657081	1.907992826	1.431344796	1.114191495	2.079505599	2.671284514	2.676182704	2.910039341	1.636752693	1.737244875
E43	E43	1	AA633658	1.858904647	1.158314093	1.17751878	1.81627508	1.605713646	2.844006711	2.599566525	2.663490876	1.503248634	1.687502268
E44	E44	1	W42849	2.323463819	1.042369978	1.173359942	1.078969695	2.236090064	2.044340476	2.869250202	2.862985037	1.874506817	1.090817617
E45	E45	1	AA598510	2.481217667	1.064163898	1.498810444	1.912562463	1.678355393	2.578316042	3.083846977	2.354538097	1.988355383	1.720599669
E46	E46	1	AA293571	1.591782972	1.84726003	1.378913762	1.769301752	2.163535109	2.984627408	3.113308462	2.763101635	2.148118284	1.616557096
E47	E47	1	H49455	1.950603902	1.471582104	1.158927074	1.123963844	2.050551798	2.395017138	2.66830432	2.919802	1.758002175	1.542811138
E48	E48	1	H24316	1.510619617	1.239219841	1.106975036	1.00943006	1.651782303	2.785330429	3.087746102	2.73562928	1.639868525	1.076101484
E49	E49	1	AA995875	1.956228949	1.231651497	1.423361514	1.33514271	1.500953248	2.586896623	2.819770118	2.61426171	1.849998257	1.967888402
E50	E50	1	AI075049	1.730818806	1.800602159	0.939470505	1.88974588	2.424566004	2.990022303	2.784763019	2.092870324	2.409824303	1.542765193
F1	F1	1	R91904	-1.864318538	-2.079556081	-2.718014966	-2.757343503	-1.570126021	-1.066232663	-1.472013074	-1.482379919	-1.830603383	-2.83214455
F2	F2	1	N46843	-1.906278435	-2.874374435	-3.100493053	-2.482916921	-2.039231725	-1.599539805	-1.396020298	-1.219461607	-2.485278095	-2.546022041
F3	F3	1	AA496539	-1.751573205	-2.754459289	-3.245419882	-2.8121027	-2.364713409	-1.820853878	-1.322080397	-1.57995039	-2.227983554	-2.912256095
F4	F4	1	AA872916	-1.537185197	-2.092302093	-3.491812175	-2.255200163	-2.349645596	-1.061938196	-0.821432827	-1.821658671	-2.044318115	-2.652036211
F5	F5	1	H27752	-2.15380322	-2.95059655	-3.026410646	-2.254296274	-1.933513471	-1.065642371	-1.35383608	-1.32953377	-1.785103978	-2.839114175
F6	F6	1	AA621132	-2.375555811	-2.536677184	-3.093573464	-2.620975694	-1.848779884	-1.458286873	-0.941829572	-1.170860281	-1.538237263	-2.169813126
F7	F7	1	AI659563	-1.583116376	-2.075422461	-2.762115219	-2.074928551	-1.830622624	-1.111760816	-0.636866747	-1.652055451	-2.433419487	-2.681184863
F8	F8	1	AA779212	-1.804091662	-2.587222707	-3.131781413	-2.830502308	-2.341518981	-1.065294885	-1.396144678	-1.695355061	-1.894828655	-2.181248657
F9	F9	1	H59758	-2.034469236	-2.270384467	-3.217925841	-2.1280427	-2.39136016	-1.066705725	-1.086329573	-1.333189732	-1.737566006	-2.624566836
F10	F10	1	H59758	-2.003002859	-2.320682382	-3.199989296	-2.765118078	-1.895610934	-1.030611921	-1.376878893	-1.532477682	-2.182667372	-2.81029838
F11	F11	1	AA598401	-1.713662544	-2.986759034	-2.897521087	-2.845443957	-2.317261341	-1.239040069	-1.410738843	-1.71340602	-2.43439513	-2.305567497
F12	F12	1	AA706974	-2.394654677	-2.468864365	-3.075951964	-2.612580518	-2.096907066	-1.467312125	-1.179286242	-1.183236639	-2.300501857	-2.916852249
F13	F13	1	AA857163	-2.307803474	-2.303504716	-2.737534632	-2.507792771	-1.568622794	-1.633145565	-1.038404692	-1.945501687	-1.665623247	-2.221072065
F14	F14	1	AA669557	-2.255800068	-2.379285791	-2.707831099	-2.153321155	-1.724729749	-1.02509244	-0.892361224	-1.135468591	-2.23849846	-2.326756354
F15	F15	1	W45572	-1.941036089	-2.633153137	-3.295620719	-2.016988053	-1.745733655	-1.392527785	-0.984300178	-1.925019898	-2.075764424	-2.284802035
F16	F16	1	AA670422	-2.341872147	-2.383567899	-3.088306752	-2.079406778	-2.39136067	-1.656929546	-1.212552343	-1.429765362	-2.102431233	-2.878175591
F17	F17	1	T71316	-2.150837427	-2.358231301	-2.757461382	-2.858668526	-2.011552456	-1.482191131	-1.383760966	-1.90391368	-2.117659723	-2.622259426
F18	F18	1	AA878652	-1.730670034	-2.058695812	-2.755412563	-2.026290754	-1.575683866	-1.501146218	-0.918818539	-1.559984044	-1.926166116	-2.994582964
F19	F19	1	H15085	-2.34478608	-2.268038263	-2.878150862	-2.433092832	-1.847445041	-1.269511532	-0.590022377	-1.059997385	-2.199276894	-2.69245361
F20	F20	1	AA629584	-2.438172976	-2.350114321	-2.550684912	-2.195634358	-1.708782847	-1.562237368	-1.177825489	-1.092543813	-1.966151049	-2.295485212
F21	F21	1	AA012867	-2.214803239	-2.696821083	-2.854181024	-2.970215803	-2.223111838	-1.42986489	-0.971362021	-1.141930378	-2.489848935	-2.897528137
F22	F22	1	R93602	-1.636513341	-2.834635015	-2.6655664	-2.514664203	-1.767727846	-1.513011442	-1.284175735	-1.357750223	-2.073008827	-2.48345263
F23	F23	1	AA453673	-1.550203834	-2.511181802	-3.333566951	-2.100888745	-2.206816161	-1.042349798	-1.163126114	-1.38464165	-1.634893611	-2.129277163
F24	F24	1	AA676955	-2.180126862	-2.84969685	-3.326098246	-2.034307886	-2.319912652	-1.549210084	-0.964172776	-1.291274674	-2.191140462	-2.45402171
F25	F25	1	AA054975	-1.688802811	-2.827653803	-2.788656725	-2.354369211	-1.842318006	-1.556384571	-1.367380653	-1.126493742	-2.414134795	-2.44038948
F26	F26	1	N41062	-2.109946372	-2.964338629	-3.451571283	-2.443513323	-1.565227374	-1.658387444	-0.985863121	-1.728353488	-1.543029093	-2.620756732
F27	F27	1	R74467	-2.357630651	-2.723155955	-2.970453582	-2.683728897	-2.257463841	-1.290366235	-0.732938982	-1.221636617	-2.081640908	-2.924079443
F28	F28	1	R91954	-2.175658328	-2.770443719	-3.251733246	-2.964315053	-1.624812931	-1.094051253	-1.020699624	-1.992193584	-1.720544994	-2.434834419
F29	F29	1	AA443302	-1.932583064	-2.830491366	-2.899173048	-2.384154347	-1.774004688	-1.464400423	-0.542541791	-1.759867809	-1.692753911	-2.085570884
F30	F30	1	W86282	-1.880624541	-2.050384563	-3.308726839	-2.851078123	-2.23411346	-1.56619068	-0.641444358	-1.967052442	-2.287827297	-2.723085266
F31	F31	1	R76314	-2.391131885	-2.463485624	-2.993528986	-2.642865132	-1.927800677	-1.618341917	-1.236916384	-1.948500301	-2.110535501	-2.957461379
F32	F32	1	AA443506	-1.883334721	-2.043118566	-3.287952744	-2.782507769	-1.927272913	-1.061957433	-0.746908193	-1.469814704	-2.321825242	-2.439662104
F33	F33	1	R85916	-2.055385588	-2.202449783	-2.990046667	-2.364112427	-1.553527906	-1.224160128	-1.430303107	-1.194972264	-1.69121257	-2.718130404
F34	F34	1	H69620	-2.41805753	-2.082344455	-2.681616028	-2.411586516	-2.225209587	-1.609416705	-0.529928433	-1.462125971	-2.057917006	-2.640463934
F35	F35	1	AA495981	-1.91958735	-2.941251727	-3.1835825	-2.207540094	-2.223759497	-1.110855414	-0.769497527	-1.97066769	-2.080670118	-2.091322769
F36	F36	1	AA459400	-1.910329794	-2.136055706	-2.793772552	-2.900376461	-2.000168134	-1.347300458	-0.624536589	-1.430471241	-2.042272722	-2.315749159
F37	F37	1	AA099160	-1.648601645	-2.460330253	-2.898093614	-2.330217673	-2.371916769	-1.123303201	-1.439634378	-1.901845202	-2.085429172	-2.497551384
F38	F38	1	AA487634	-2.042309137	-2.005016522	-2.938803112	-2.225891637	-1.712556615	-1.162562609	-0.836747051	-1.482054142	-1.633230299	-2.917417169
F39	F39	1	W38571	-2.073376911	-2.543560093	-2.553472875	-2.867149463	-1.943936555	-1.553641009	-0.714449922	-1.568473144	-2.48411225	-2.756722644
F40	F40	1	AA905362	-2.384222304	-2.132713895	-2.717052897	-2.282315918	-1.962931568	-1.088969667	-0.905619119	-1.402565946	-2.490814869	-2.991048292
F41	F41	1	N36233	-2.40011733	-2.533124006	-3.496064813	-2.338920442	-2.259015644	-1.208621429	-1.001483052	-1.095762695	-2.190675572	-2.634713351
F42	F42	1	N98729	-1.513179864	-2.264052483	-2.678273444	-2.066652739	-1.631201947	-1.622209999	-1.120293748	-1.345651869	-1.690683143	-2.604405998
F43	F43	1	N51280	-1.602374514	-2.074905447	-3.237119893	-2.319427411	-1.857221365	-1.20005146	-0.908397078	-1.762840485	-2.102617406	-2.399211948
F44	F44	1	AA700172	-2.253888777	-2.502734737	-3.432335954	-2.74995359	-2.341655179	-1.691351598	-1.45857502	-1.343138231	-2.287114293	-2.649250591
F45	F45	1	T67552	-2.477851582	-2.800294157	-3.413303074	-2.156125026	-2.366946896	-1.044505022	-1.278335025	-1.487240644	-1.89015689	-2.969018168
F46	F46	1	R11398	-1.591646641	-2.492531404	-2.543923615	-2.828766534	-2.311958815	-1.401144981	-0.528817995	-1.220355893	-1.663985466	-2.631435401
F47	F47	1	T55416	-2.119567841	-2.917874243	-2.634170138	-2.551903796	-2.167827833	-1.975825317	-0.743255394	-1.626402853	-1.818963548	-2.030369687
F48	F48	1	W47196	-1.775653444	-2.29681513	-3.330663844	-2.188956519	-1.952940156	-1.697610741	-0.73346154	-1.231275181	-1.684851385	-2.623618431
F49	F49	1	AA702185	-1.70029335	-2.276498026	-2.616149835	-2.244216966	-1.605264561	-1.92810865	-1.145361947	-1.134082555	-1.648464544	-2.809347413
F50	F50	1	H17528	-2.265517957	-2.768032386	-3.227221656	-2.899688094	-1.819936181	-1.395049489	-1.375513412	-1.563191576	-1.521452342	-2.19447696
G1	G1	1	H86518	-2.093561263	-1.297105786	-0.99129209	-1.424225108	-1.986062305	-2.944232247	-2.621835849	-2.719523845	-1.675507428	-1.306687234
G2	G2	1	AA705047	-1.843142276	-1.375800778	-1.08318526	-1.459292111	-2.120017744	-2.688449821	-2.887400762	-2.265379691	-2.322532376	-1.535865306
G3	G3	1	H20859	-1.574727104	-1.588050333	-0.803897692	-1.80194876	-1.987738427	-2.623833873	-2.696998249	-2.363251839	-1.687025449	-1.218450591
G4	G4	1	H45449	-2.057728799	-1.780586713	-1.015556377	-1.049020889	-1.704811821	-2.001618682	-3.493253136	-2.32664767	-2.221142528	-1.168760565
G5	G5	1	AA128826	-2.133334904	-1.064284804	-1.044561343	-1.216520164	-2.023576915	-2.164579087	-3.404969985	-2.910977677	-1.929958778	-1.727502361
G6	G6	1	H15215	-1.946842983	-1.504685882	-0.815552695	-1.750740675	-1.806634642	-2.803291122	-2.874574549	-2.503632891	-1.666542961	-1.561599998
G7	G7	1	AA081039	-2.222083482	-1.72427176	-0.842186711	-1.237639859	-2.27329265	-2.546998532	-2.739258541	-2.766545786	-2.373646203	-1.960401069
G8	G8	1	AA705395	-2.435306351	-1.506981107	-0.524685873	-1.479867694	-2.223501271	-2.548262788	-3.144446781	-2.628471256	-1.959240466	-1.074405559
G9	G9	1	AA884935	-1.855973618	-1.90608345	-1.079091441	-1.671526312	-2.156824125	-2.885726084	-2.974817435	-2.031398674	-1.889358975	-1.641360396
G10	G10	1	N70349	-2.092998673	-1.111442457	-0.865632156	-1.935185384	-1.849082316	-2.138924806	-2.982183917	-2.588340858	-2.405470592	-1.35583012
G11	G11	1	H17975	-2.048741927	-1.840776943	-1.362811227	-1.5734278	-1.820644637	-2.586312498	-2.621690589	-2.965091418	-1.714783754	-1.580931055
G12	G12	1	AA664155	-1.539496976	-1.570757372	-0.987014505	-1.618588418	-1.742283685	-2.14383863	-3.004314501	-2.717101119	-1.675237304	-1.893673476
G13	G13	1	AA441935	-1.858461516	-1.768235977	-0.505115933	-1.724093672	-2.203421361	-2.35419825	-3.363018478	-2.185605278	-2.442539107	-1.76848907
G14	G14	1	AA441935	-2.041435398	-1.491281034	-1.109266013	-1.404246625	-1.564708834	-2.92991065	-3.490559123	-2.186399423	-2.395002067	-1.205342877
G15	G15	1	AA971742	-2.267330478	-1.934499044	-1.276100249	-1.254344983	-2.053087462	-2.018383934	-2.898183612	-2.057401964	-2.235485053	-1.573420916
G16	G16	1	H58255	-2.45107544	-1.093946569	-0.841656893	-1.956191373	-2.318040241	-2.045078254	-2.810389623	-2.681058718	-1.730683532	-1.25292873
G17	G17	1	R98050	-1.949547789	-1.77211893	-1.244209764	-1.058813802	-1.676365555	-2.808918598	-3.488724452	-2.166924678	-2.495318021	-1.883726519
G18	G18	1	AI220203	-1.872267555	-1.762648499	-1.318225563	-1.148367804	-1.516993482	-2.371313025	-2.666751737	-2.415177094	-1.928714988	-1.90223679
G19	G19	1	AA486741	-2.488598011	-1.379790428	-1.496183359	-1.330254904	-1.835981801	-2.8142236	-2.875333158	-2.646371424	-1.995282318	-1.60601669
G20	G20	1	H81046	-2.399300154	-1.944830107	-0.878135621	-1.643509918	-1.503643909	-2.554501176	-2.952428516	-2.992368361	-2.221425854	-1.447746538
G21	G21	1	AA504809	-2.37609488	-1.093693408	-0.710395037	-1.694320443	-1.742061212	-2.227388519	-2.565633468	-2.408812949	-2.142565613	-1.494348457
G22	G22	1	AA894927	-1.81104974	-1.631163624	-1.374138885	-1.307233099	-2.461418528	-2.210120686	-2.621456699	-2.336751686	-2.35649211	-1.616739018
G23	G23	1	N71653	-2.442768377	-1.755792264	-1.061569125	-1.320903997	-1.899302182	-2.565213034	-3.375405173	-2.851730698	-2.057581395	-1.596831027
G24	G24	1	AI275398	-1.799477236	-1.433676275	-1.190524436	-1.509872273	-1.627996719	-2.932585648	-3.237260791	-2.193630186	-1.841398597	-1.379826405
G25	G25	1	AA676405	-2.187978643	-1.652448338	-0.510990029	-1.562117528	-2.459681437	-2.972408556	-3.272238215	-2.081138137	-1.809160243	-1.628730325
G26	G26	1	AA676466	-2.197877155	-1.25192862	-0.884522589	-1.25944628	-2.072832617	-2.783824771	-3.324659314	-2.448237791	-2.135555469	-1.382240709
G27	G27	1	AA666098	-1.545068818	-1.935032705	-1.315916985	-1.735593253	-1.944904978	-2.943913703	-3.168178901	-2.182165769	-1.63754389	-1.009577499
G28	G28	1	R56277	-2.061992174	-1.825522533	-1.162025836	-1.572982203	-1.887640061	-2.621707274	-3.04539076	-2.159878276	-2.20284541	-1.854551002
G29	G29	1	T62060	-2.288608601	-1.400722565	-0.606479622	-1.17313119	-2.160168845	-2.679312239	-3.45695596	-2.484828159	-1.62755003	-1.59251143
G30	G30	1	AA281616	-2.367068869	-1.172618848	-1.027544135	-1.682985854	-2.408212102	-2.972449113	-3.126899558	-2.576391003	-1.654614883	-1.764443448
G31	G31	1	AI241388	-2.085968501	-1.716607057	-1.089965981	-1.247994338	-1.78958926	-2.977606043	-3.369701612	-2.83498002	-1.637484319	-1.572547023
G32	G32	1	H54451	-2.189531023	-1.926092919	-1.473269588	-1.796010645	-1.599224109	-2.633438433	-2.975322884	-2.05618007	-1.618266593	-1.602872914
G33	G33	1	H21041	-2.1486915	-1.985335462	-1.275491762	-1.176235635	-2.168321316	-2.683703864	-2.648684748	-2.295220873	-1.760094867	-1.303299631
G34	G34	1	AA600217	-1.559664321	-1.846063368	-0.519906688	-1.649630303	-1.594057707	-2.309495948	-3.127236345	-2.963759318	-1.644475968	-1.764720664
G35	G35	1	AA490249	-2.036306341	-1.83400699	-1.190813584	-1.509575929	-2.130017635	-2.790037693	-2.643014363	-2.105340519	-2.346217763	-1.261280955
G36	G36	1	AA917837	-2.208213434	-1.494909263	-0.746616417	-1.483705197	-2.171144899	-2.914937733	-2.667409061	-2.819829646	-1.710158607	-1.427503927
G37	G37	1	AA021188	-1.623129277	-1.269822928	-0.773567296	-1.143035965	-2.419453231	-2.367625002	-2.952531912	-2.546689576	-1.831384321	-1.59700788
G38	G38	1	AA418755	-1.81141024	-1.867690662	-0.931014871	-1.002223824	-1.877266592	-2.061032506	-3.292261517	-2.520280955	-1.666373026	-1.63847928
G39	G39	1	AA873355	-2.28156191	-1.87458646	-0.633388544	-1.028178328	-1.858291656	-2.804533442	-3.443116061	-2.525700717	-2.124363089	-1.153274667
G40	G40	1	AA284067	-2.453204644	-1.747492366	-0.923097596	-1.22677194	-2.390528331	-2.342550826	-3.094396943	-2.343060243	-2.389240402	-1.925781264
G41	G41	1	R73570	-2.440068123	-1.200650643	-1.293471926	-1.371082994	-1.702874466	-2.170738519	-2.9321155	-2.995135983	-2.191019474	-1.598488526
G42	G42	1	AA775957	-2.133615264	-1.472581384	-0.973074986	-1.767003808	-2.000759711	-2.831366642	-3.071537251	-2.443875772	-1.857067359	-1.19590034
G43	G43	1	AA598814	-2.09715044	-1.310272004	-1.443392706	-1.020248036	-2.037043944	-2.833921036	-2.862798863	-2.131440887	-1.676981279	-1.252039265
G44	G44	1	H14841	-1.557222151	-1.117049402	-0.952689908	-1.850694077	-1.988132396	-2.655564374	-2.521432596	-2.920247896	-2.150700358	-1.712452069
G45	G45	1	AA489275	-2.018736422	-1.284315622	-0.685033454	-1.991811408	-1.55131943	-2.685793165	-3.323178051	-2.622856681	-1.629668938	-1.18024541
G46	G46	1	R35219	-2.31875702	-1.726819378	-0.990517414	-1.762149726	-2.247067414	-2.027561358	-3.096070762	-2.109866277	-1.659002244	-1.773052041
G47	G47	1	AA775899	-1.861905542	-1.216224395	-1.390101444	-1.81459545	-1.566918472	-2.37823384	-2.970159824	-2.088351069	-1.798481736	-1.120860182
G48	G48	1	H85355	-2.300803138	-1.817218159	-0.905175804	-1.985836592	-2.309029567	-2.456495235	-3.171629757	-2.632207618	-1.579351916	-1.801298695
G49	G49	1	AA857542	-2.312453027	-1.898108936	-1.028118073	-1.302970441	-2.160258662	-2.275185488	-2.830531799	-2.256329425	-1.885051765	-1.489534043
G50	G50	1	AA262804	-1.529381467	-1.746957307	-1.205758438	-1.919482911	-2.061552757	-2.772676911	-2.797716751	-2.031712581	-2.36102798	-1.596198488
H1	H1	1	H24018	-1.652572764	-2.161831118	-1.913416646	-1.057748568	-0.14766771	1.277553787	2.485756197	2.180702533	1.645346169	2.406404282
